ano,sigla_uf,id_municipio,nome,nome_regiao,populacao,pib_per_capita
2017,MA,2100204,Alcântara,Nordeste,21673,5366.72
2018,MA,2100204,Alcântara,Nordeste,22083,5869.08
2019,MA,2100204,Alcântara,Nordeste,22097,5676.65
2020,MA,2100204,Alcântara,Nordeste,22112,5978.38
2021,MA,2100204,Alcântara,Nordeste,22126,6724.98
2017,MA,2101350,Bacurituba,Nordeste,5574,6297.27
2018,MA,2101350,Bacurituba,Nordeste,5617,6242.66
2019,MA,2101350,Bacurituba,Nordeste,5644,6299.26
2020,MA,2101350,Bacurituba,Nordeste,5670,6738.1
2021,MA,2101350,Bacurituba,Nordeste,5696,6952.25
2017,MA,2101905,Bequimão,Nordeste,20881,5700.21
2018,MA,2101905,Bequimão,Nordeste,21260,6071.73
2019,MA,2101905,Bequimão,Nordeste,21280,5763.35
2020,MA,2101905,Bequimão,Nordeste,21299,6266.54
2021,MA,2101905,Bequimão,Nordeste,21317,6480.27
2017,MA,2102408,Cajapió,Nordeste,11019,4834.29
2018,MA,2102408,Cajapió,Nordeste,11136,4960.4
2019,MA,2102408,Cajapió,Nordeste,11177,5318.24
2020,MA,2102408,Cajapió,Nordeste,11216,5611.8
2021,MA,2102408,Cajapió,Nordeste,11255,6279.25
2017,MA,2103125,Central do Maranhão,Nordeste,8615,5074.17
2018,MA,2103125,Central do Maranhão,Nordeste,8604,5592.17
2019,MA,2103125,Central do Maranhão,Nordeste,8673,5398.48
2020,MA,2103125,Central do Maranhão,Nordeste,8740,5379.06
2021,MA,2103125,Central do Maranhão,Nordeste,8806,6627.64
2017,MA,2111789,Serrano do Maranhão,Nordeste,11040,6092.66
2018,MA,2111789,Serrano do Maranhão,Nordeste,10206,6730.55
2019,MA,2111789,Serrano do Maranhão,Nordeste,10253,5208.13
2020,MA,2111789,Serrano do Maranhão,Nordeste,10299,6009.9
2021,MA,2111789,Serrano do Maranhão,Nordeste,10343,7006.09
2017,MA,2109056,Porto Rico do Maranhão,Nordeste,5819,7200.38
2018,MA,2109056,Porto Rico do Maranhão,Nordeste,5995,6736.61
